skill_a,skill_b,path_a,path_b,score,status,actionable,scope_a,scope_b
chapter-planner,chapter-writer,chapter-planner,chapter-writer,0.2,clear,False,embedded,embedded
chapter-planner,continuity-keeper,chapter-planner,continuity-keeper,0.211,clear,False,embedded,embedded
chapter-planner,novel-brief,chapter-planner,novel-brief,0.235,clear,False,embedded,embedded
chapter-planner,novel-reviewer,chapter-planner,novel-reviewer,0.222,clear,False,embedded,embedded
chapter-planner,novel-master,chapter-planner,.,0.0,clear,False,embedded,release
chapter-planner,story-architect,chapter-planner,story-architect,0.2,clear,False,embedded,embedded
chapter-writer,continuity-keeper,chapter-writer,continuity-keeper,0.174,clear,False,embedded,embedded
chapter-writer,novel-brief,chapter-writer,novel-brief,0.19,clear,False,embedded,embedded
chapter-writer,novel-reviewer,chapter-writer,novel-reviewer,0.182,clear,False,embedded,embedded
chapter-writer,novel-master,chapter-writer,.,0.0,clear,False,embedded,release
chapter-writer,story-architect,chapter-writer,story-architect,0.167,clear,False,embedded,embedded
continuity-keeper,novel-brief,continuity-keeper,novel-brief,0.2,clear,False,embedded,embedded
continuity-keeper,novel-reviewer,continuity-keeper,novel-reviewer,0.19,clear,False,embedded,embedded
continuity-keeper,novel-master,continuity-keeper,.,0.0,clear,False,embedded,release
continuity-keeper,story-architect,continuity-keeper,story-architect,0.174,clear,False,embedded,embedded
novel-brief,novel-reviewer,novel-brief,novel-reviewer,0.211,clear,False,embedded,embedded
novel-brief,novel-master,novel-brief,.,0.0,clear,False,embedded,release
novel-brief,story-architect,novel-brief,story-architect,0.19,clear,False,embedded,embedded
novel-reviewer,novel-master,novel-reviewer,.,0.0,clear,False,embedded,release
novel-reviewer,story-architect,novel-reviewer,story-architect,0.182,clear,False,embedded,embedded
novel-master,story-architect,.,story-architect,0.0,clear,False,release,embedded
